conv1,36.173,ms,144.639,ms,0.000,us,18.38 ,Mb,91.88 ,Mb,0,b,0,b,1
bn1,3.831,ms,13.118,ms,0.000,us,18.38 ,Mb,91.88 ,Mb,0,b,0,b,1
relu,1.410,ms,2.792,ms,0.000,us,0,b,0,b,0,b,0,b,1
maxpool,9.961,ms,20.265,ms,0.000,us,13.78 ,Mb,41.34 ,Mb,0,b,0,b,1
conv1,20.677,ms,82.905,ms,0.000,us,4.59 ,Mb,22.97 ,Mb,0,b,0,b,1
bn1,432.564,us,1.301,ms,0.000,us,4.59 ,Mb,22.97 ,Mb,0,b,0,b,1
relu,399.862,us,773.768,us,0.000,us,0,b,0,b,0,b,0,b,2
conv2,20.919,ms,83.652,ms,0.000,us,4.59 ,Mb,22.97 ,Mb,0,b,0,b,1
bn2,437.383,us,1.313,ms,0.000,us,4.59 ,Mb,22.97 ,Mb,0,b,0,b,1
conv1,20.713,ms,82.820,ms,0.000,us,4.59 ,Mb,22.97 ,Mb,0,b,0,b,1
bn1,410.844,us,1.237,ms,0.000,us,4.59 ,Mb,22.97 ,Mb,0,b,0,b,1
relu,380.299,us,735.627,us,0.000,us,0,b,0,b,0,b,0,b,2
conv2,20.406,ms,81.602,ms,0.000,us,4.59 ,Mb,22.97 ,Mb,0,b,0,b,1
bn2,426.082,us,1.281,ms,0.000,us,4.59 ,Mb,22.97 ,Mb,0,b,0,b,1
conv1,13.515,ms,54.043,ms,0.000,us,2.30 ,Mb,11.48 ,Mb,0,b,0,b,1
bn1,466.360,us,1.581,ms,0.000,us,2.30 ,Mb,11.49 ,Mb,0,b,0,b,1
relu,303.803,us,586.184,us,0.000,us,0,b,0,b,0,b,0,b,2
conv2,17.920,ms,71.659,ms,0.000,us,2.30 ,Mb,11.48 ,Mb,0,b,0,b,1
bn2,170.336,us,514.040,us,0.000,us,2.30 ,Mb,11.49 ,Mb,0,b,0,b,1
0,4.799,ms,19.184,ms,0.000,us,2.30 ,Mb,11.48 ,Mb,0,b,0,b,1
1,213.584,us,643.967,us,0.000,us,2.30 ,Mb,11.49 ,Mb,0,b,0,b,1
conv1,15.961,ms,63.827,ms,0.000,us,2.30 ,Mb,11.48 ,Mb,0,b,0,b,1
bn1,159.626,us,480.702,us,0.000,us,2.30 ,Mb,11.49 ,Mb,0,b,0,b,1
relu,321.486,us,622.696,us,0.000,us,0,b,0,b,0,b,0,b,2
conv2,15.749,ms,62.977,ms,0.000,us,2.30 ,Mb,11.48 ,Mb,0,b,0,b,1
bn2,164.348,us,493.941,us,0.000,us,2.30 ,Mb,11.49 ,Mb,0,b,0,b,1
conv1,8.627,ms,34.570,ms,0.000,us,1.15 ,Mb,5.74 ,Mb,0,b,0,b,1
bn1,156.402,us,472.068,us,0.000,us,1.15 ,Mb,5.75 ,Mb,0,b,0,b,1
relu,284.447,us,549.038,us,0.000,us,0,b,0,b,0,b,0,b,2
conv2,14.441,ms,57.748,ms,0.000,us,1.15 ,Mb,5.74 ,Mb,0,b,0,b,1
bn2,136.987,us,413.424,us,0.000,us,1.15 ,Mb,5.75 ,Mb,0,b,0,b,1
0,2.516,ms,10.055,ms,0.000,us,1.15 ,Mb,5.74 ,Mb,0,b,0,b,1
1,163.961,us,493.880,us,0.000,us,1.15 ,Mb,5.75 ,Mb,0,b,0,b,1
conv1,13.360,ms,53.421,ms,0.000,us,1.15 ,Mb,5.74 ,Mb,0,b,0,b,1
bn1,102.141,us,309.362,us,0.000,us,1.15 ,Mb,5.75 ,Mb,0,b,0,b,1
relu,277.516,us,537.047,us,0.000,us,0,b,0,b,0,b,0,b,2
conv2,13.975,ms,55.883,ms,0.000,us,1.15 ,Mb,5.74 ,Mb,0,b,0,b,1
bn2,105.695,us,318.728,us,0.000,us,1.15 ,Mb,5.75 ,Mb,0,b,0,b,1
conv1,9.426,ms,37.683,ms,0.000,us,588.00 Kb,2.87 ,Mb,0,b,0,b,1
bn1,121.787,us,368.234,us,0.000,us,588.00 Kb,2.88 ,Mb,0,b,0,b,1
relu,190.507,us,360.355,us,0.000,us,0,b,0,b,0,b,0,b,2
conv2,21.756,ms,87.006,ms,0.000,us,588.00 Kb,2.87 ,Mb,0,b,0,b,1
bn2,131.056,us,394.078,us,0.000,us,588.00 Kb,2.88 ,Mb,0,b,0,b,1
0,1.659,ms,6.619,ms,0.000,us,588.00 Kb,2.87 ,Mb,0,b,0,b,1
1,114.392,us,346.316,us,0.000,us,588.00 Kb,2.88 ,Mb,0,b,0,b,1
conv1,20.103,ms,80.399,ms,0.000,us,588.00 Kb,2.87 ,Mb,0,b,0,b,1
bn1,137.430,us,415.439,us,0.000,us,588.00 Kb,2.88 ,Mb,0,b,0,b,1
relu,162.164,us,299.687,us,0.000,us,0,b,0,b,0,b,0,b,2
conv2,20.610,ms,82.421,ms,0.000,us,588.00 Kb,2.87 ,Mb,0,b,0,b,1
bn2,176.620,us,531.778,us,0.000,us,588.00 Kb,2.88 ,Mb,0,b,0,b,1
avgpool,180.440,us,537.402,us,0.000,us,12.00 Kb,48.01 Kb,0,b,0,b,1
fc,4.181,ms,4.204,ms,0.000,us,72,b,72,b,0,b,0,b,1
